"date","series_id","value","realtime_start","realtime_end"
2023-04-01,"CES0500000003",33.44,2024-11-20,2024-11-20
2023-05-01,"CES0500000003",33.54,2024-11-20,2024-11-20
2023-06-01,"CES0500000003",33.7,2024-11-20,2024-11-20
2023-07-01,"CES0500000003",33.84,2024-11-20,2024-11-20
2023-08-01,"CES0500000003",33.91,2024-11-20,2024-11-20
2023-09-01,"CES0500000003",34.01,2024-11-20,2024-11-20
2023-10-01,"CES0500000003",34.1,2024-11-20,2024-11-20
2023-11-01,"CES0500000003",34.23,2024-11-20,2024-11-20
2023-12-01,"CES0500000003",34.34,2024-11-20,2024-11-20
2024-01-01,"CES0500000003",34.51,2024-11-20,2024-11-20
2024-02-01,"CES0500000003",34.56,2024-11-20,2024-11-20
2024-03-01,"CES0500000003",34.69,2024-11-20,2024-11-20
2024-04-01,"CES0500000003",34.75,2024-11-20,2024-11-20
2024-05-01,"CES0500000003",34.88,2024-11-20,2024-11-20
2024-06-01,"CES0500000003",34.99,2024-11-20,2024-11-20
2024-07-01,"CES0500000003",35.07,2024-11-20,2024-11-20
2024-08-01,"CES0500000003",35.22,2024-11-20,2024-11-20
2024-09-01,"CES0500000003",35.33,2024-11-20,2024-11-20
